title,media,desc,link,pub_date
‘Extremely unfortunate situation’: Canada has a shortage of these common painkillers. Here’s an expert’s advice,CTV News,The country is experiencing a shortage of some common painkillers containing acetaminophen with codeine or oxycodone due to manufacturing disruptions and...,https://www.ctvnews.ca/health/article/extremely-unfortunate-situation-canada-has-a-shortage-of-these-common-painkillers-heres-an-experts-advice/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIARAC&usg=AOvVaw3x59Etc4tfOMCap5VfzA5x,4 minutes ago
There’s a painkiller shortage in Canada. Here’s what to know,Radio-Canada,"There is a shortage of some commonly-prescribed painkillers in Canada, as companies that supply them deal with manufacturing disruptions and increased...",https://ici.radio-canada.ca/rci/en/news/2182269/painkiller-shortage-canada&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIBhAC&usg=AOvVaw2j0yUJnlFOFGTT4Lv2U31A,2 hours ago
Canada must address potential veterinary drug shortages,Manitoba Co-operator,Trade tensions raise the risk of Canada's beef producers being left short of the medicines they need for their cattle herds.,https://www.manitobacooperator.ca/livestock/canada-must-address-potential-veterinary-drug-shortages/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIChAC&usg=AOvVaw0L-Y0JDlixkSTWhEAeiTVZ,2 hours ago
There's a painkiller shortage in Canada. Here's what to know,MSN,There is a shortage of some commonly-prescribed painkillers in Canada — including acetaminophen with codeine and acetaminophen with oxycodone — as companies...,https://www.msn.com/en-ca/health/other/there-s-a-painkiller-shortage-in-canada-here-s-what-to-know/ar-AA1JsPXH&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIBRAC&usg=AOvVaw2mmsteNiEh071uN46MDA8t,6 hours ago
Canada is facing a shortage of common prescription painkillers. Here’s who could be most affected,Toronto Star,"Health Canada issued a notice that makers of drugs containing acetaminophen with codeine or oxycodone, like Tylenol-3s, are experiencing shortages.",https://www.thestar.com/news/canada/canada-is-facing-a-shortage-of-common-prescription-painkillers-heres-who-could-be-most-affected/article_e799f56c-6ffc-4721-b608-c76fd6fee381.html&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQICRAC&usg=AOvVaw3AerLx8Ulp5TDmKLqNBJ3Z,1 day ago
Canada Facing Nationwide Shortages of Opioid Pain Medication,Pain News Network,By Pat Anson. Pain patients in the United States have been dealing with persistent shortages of opioid pain medication for years. Now their counterparts in...,https://www.painnewsnetwork.org/stories/2025/7/26/canada-facing-nationwide-shortages-of-opioid-pain-medication&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIAhAC&usg=AOvVaw2MdtaE-xXhbxYTbPC84oVB,3 days ago
Canada is facing a nationwide shortage of these prescription painkillers,Global News,A national shortage of common prescription pain medications in Canada could last into early August. Health Canada issued a notice last week that drugs...,https://globalnews.ca/news/11302308/painkillers-drug-shortage-acetaminophen/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIBBAC&usg=AOvVaw2ztJ5GM3ngCD_xSVcndSwz,4 days ago
Tariffs on pharmaceuticals entering the U.S. from Canada Aug. 1,CityNews Vancouver,President Donald Trump might slap a 200 per cent tariffs on pharmaceutical drugs entering the U.S. from Canada starting Aug. 1.,https://vancouver.citynews.ca/2025/07/25/us-canada-tariffs-pharmaceutical-drugs/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIAxAC&usg=AOvVaw0FAKhnpmvnd-aStEDq0at8,4 days ago
Painkiller shortage forces Windsor pharmacists to make tough calls,CTV News,"A national shortage of a commonly prescribed painkiller is being felt locally — forcing Windsor-Essex pharmacists to ration supply, split doses,...",https://www.ctvnews.ca/windsor/article/painkiller-shortage-forces-windsor-pharmacists-to-make-tough-calls/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQIBxAC&usg=AOvVaw1iZse18IvQ2xU_h1csiV8C,1 week ago
"Trump’s trade war will lead to drug shortages in Canada, new report warns",The Logic,"America's global trade war is breaking up delicate supply chains for essential drugs and Canadians should expect shortages, says Mark Lievonen.",https://thelogic.co/news/exclusive/trump-drug-shortages-canada/&ved=2ahUKEwiQyuTatuKOAxUknokEHa-qDw0QxfQBegQICBAC&usg=AOvVaw0BGRRdRMMepUOSBCKCJGYp,1 month ago
